test,race,sex,edu,edu_level_min,edu_level_max,edu_min,edu_max,edu_mean,age_min,age_max,age_mean,mean,sd,score_min,score_max,t_score,percent,z_score,scaled,sten,stanine,iq,beware
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,16.07,35,36.99,,0.02,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,15.47,37,38.99,,0.02,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,15.76,39,40.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,15.57,41,43.99,,0.05,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.82,44,45.99,,0.04,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.97,46,46.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,14.51,47,48.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,14.24,49,50.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,14.5,51,52.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,15.08,53,54.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,15.72,55,57.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,15.24,58,59.99,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,14.64,60,60.99,,0.02,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,14.3,61,62.99,,0.01,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.46,63,64.99,,0.03,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.65,65,67.99,,0.06,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.94,68,68.99,,0.08,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.75,69,70.99,,0.1,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.02,71,72.99,,0.1,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,12.36,73,74.99,,0.09,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,12.21,75,76.99,,0.1,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.44,77,78.99,,0.14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.09,79,80.99,,0.24,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,13.11,81,82.99,,0.22,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,12.05,83,84.99,,0.34,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,12.06,85,86.99,,0.44,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,11.77,87,95.99,,0.54,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_recog_fp_total,NA,NA,NA,NA,NA,NA,NA,11.77,96,110,,0.54,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,0,11,NA,NA,NA,2,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,12,12,NA,NA,NA,3,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,13,14,NA,NA,NA,4,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,15,16,NA,NA,NA,5,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,17,19,NA,NA,NA,6,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,20,21,NA,NA,NA,7,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,22,24,NA,NA,NA,8,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,25,27,NA,NA,NA,9,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,28,29,NA,NA,NA,10,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,30,30,NA,NA,NA,11,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,31,32,NA,NA,NA,12,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,33,33,NA,NA,NA,13,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,34,34,NA,NA,NA,14,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,35,35,NA,NA,NA,15,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,36,36,NA,NA,NA,17,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,0,11,NA,NA,NA,2,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,12,12,NA,NA,NA,3,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,13,14,NA,NA,NA,4,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,15,16,NA,NA,NA,5,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,17,19,NA,NA,NA,6,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,20,21,NA,NA,NA,7,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,22,24,NA,NA,NA,8,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,25,27,NA,NA,NA,9,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,28,29,NA,NA,NA,10,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,30,30,NA,NA,NA,11,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,31,32,NA,NA,NA,12,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,33,33,NA,NA,NA,13,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,34,34,NA,NA,NA,14,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,35,35,NA,NA,NA,15,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,36,36,NA,NA,NA,17,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,0
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,0,11,NA,NA,NA,2,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,12,12,NA,NA,NA,3,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,13,14,NA,NA,NA,4,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,15,16,NA,NA,NA,5,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,17,19,NA,NA,NA,6,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,20,21,NA,NA,NA,7,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,22,24,NA,NA,NA,8,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,25,27,NA,NA,NA,9,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,28,29,NA,NA,NA,10,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,30,30,NA,NA,NA,11,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,31,32,NA,NA,NA,12,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,33,33,NA,NA,NA,13,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,34,34,NA,NA,NA,14,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,35,35,NA,NA,NA,15,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,36,36,NA,NA,NA,17,NA,NA,NA,1
bvmt_total_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,0,4,NA,NA,NA,3,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,5,5,NA,NA,NA,4,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,6,6,NA,NA,NA,5,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,7,7,NA,NA,NA,6,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,8,8,NA,NA,NA,7,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,9,9,NA,NA,NA,8,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,10,10,NA,NA,NA,9,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,11,11,NA,NA,NA,11,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,12,12,NA,NA,NA,13,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,10,16.99,,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,0,4,NA,NA,NA,3,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,5,5,NA,NA,NA,4,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,6,6,NA,NA,NA,5,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,7,7,NA,NA,NA,6,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,8,8,NA,NA,NA,7,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,9,9,NA,NA,NA,8,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,10,10,NA,NA,NA,9,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,11,11,NA,NA,NA,11,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,12,12,NA,NA,NA,13,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,17,95.99,,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,0
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,0,4,NA,NA,NA,3,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,5,5,NA,NA,NA,4,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,6,6,NA,NA,NA,5,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,7,7,NA,NA,NA,6,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,8,8,NA,NA,NA,7,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,9,9,NA,NA,NA,8,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,10,10,NA,NA,NA,9,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,11,11,NA,NA,NA,11,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,12,12,NA,NA,NA,13,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,1
bvmt_dr_vs,NA,NA,NA,NA,NA,NA,NA,NA,96,120,,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1
